Lower value,Valor inferior
Lower value fix,Valor inferior fijo
Higher value,Valor superior
Higher value fix,Valor superior fijo
"If NO is selected, the lower value is take in percent","Si esta seleccionado NO, el valor inferior sera tomado como porcentaje"
"If NO is selected, the higher value is take in percent","Si esta seleccionado NO, el valor superior sera tomado como porcentaje"
Custom text for checkout page in form,Texto personalizado para el formulario de la pagina de checkout 
Custom text for checkout page in column of info,Texto personalizado para la informacion de la pagina de checkout 
